rule_id,category,drug_class,example_drugs,action,timing,rationale,consult,guideline_source,version_date
29,Endocrine/Diabetic,Long-acting insulin,Detemir;Glargine;Degludec,CONTINUE,Perioperative (adjusted dose),Continue at an adjusted dose; resume antidiabetics when oral intake resumes,,KHCC GDLPT-25,2022-08-17
30,Steroids/Hormonal,Glucocorticoids,Prednisone;Hydrocortisone;Dexamethasone;Methylprednisolone,CONDITIONAL,Depends on HPA axis,Non-suppressed HPA axis: continue. Suppressed HPA axis: replace with stress dose. Intermediate/unknown: evaluate with 8AM cortisol or ACTH stimulation test,,KHCC GDLPT-25,2022-08-17
31,Steroids/Hormonal,Selective estrogen receptor modulators,Tamoxifen,DISCONTINUE,4 weeks before surgery,For moderate-to-high VTE-risk surgery when used for breast cancer; oncology consultation recommended,Oncology,KHCC GDLPT-25,2022-08-17
32,Steroids/Hormonal,Thyroid hormone,Levothyroxine,CONTINUE,Perioperative,,,KHCC GDLPT-25,2022-08-17
33,Psychotropic/Neurologic,Tricyclic antidepressants,Amitriptyline,CONDITIONAL,Depends on dose/cardiac risk,Continue for high doses without cardiac disease; taper over 7-14 days if low dose or increased perioperative arrhythmia risk; avoid abrupt discontinuation,,KHCC GDLPT-25,2022-08-17
34,Psychotropic/Neurologic,SSRIs,Sertraline;Citalopram;Fluoxetine,CONDITIONAL,3 weeks before high-risk surgery,Continue in severe mood disorders; discontinue 3 weeks before high-risk surgery or if ongoing antiplatelet for secondary prevention; balance bleeding vs psychiatric risk,Psychiatry,KHCC GDLPT-25,2022-08-17
35,Psychotropic/Neurologic,Antipsychotics,Chlorpromazine;Flupentixol;Haloperidol;Aripiprazole;Olanzapine;Quetiapine;Risperidone,CONTINUE,Perioperative,Continue in patients at high risk of psychoses; avoid abrupt discontinuation; balance QT-prolongation vs psychiatric risk,Psychiatry,KHCC GDLPT-25,2022-08-17
36,Psychotropic/Neurologic,Benzodiazepines,Diazepam;Alprazolam;Lorazepam,CONTINUE,Perioperative,Avoid abrupt discontinuation,,KHCC GDLPT-25,2022-08-17
37,Psychotropic/Neurologic,Antiepileptic drugs,Phenytoin;Phenobarbitone;Levetiracetam;Carbamazepine;Valproic acid;Topiramate;Lamotrigine;Gabapentin;Pregabalin,CONTINUE,Perioperative,Consider serum level monitoring for AEDs with narrow therapeutic window; gabapentin/pregabalin continued whether for epilepsy or neuropathic cancer pain,,KHCC GDLPT-25,2022-08-17
38,Psychotropic/Neurologic,Antiparkinsonian drugs,Carbidopa/Levodopa;Pramipexole,HOLD,Morning of surgery (dopamine agonists >=12 h before),Avoid abrupt discontinuation; resume with oral intake as soon as possible post-op,,KHCC GDLPT-25,2022-08-17
39,Chronic opioid,Methadone,Methadone,CONTINUE,Perioperative (usual maintenance dose),Wide interindividual variability; refer to pain team for conversion to IV morphine when NPO; can cause QT prolongation,Pain team,KHCC GDLPT-25,2022-08-17
40,Chronic opioid,Morphine SR/IR,Morphine,CONTINUE,Perioperative (usual dose),If NPO convert oral to IV morphine (ratio 3:1),Pain team,KHCC GDLPT-25,2022-08-17
41,Chronic opioid,Oxycodone SR,Oxycodone,CONTINUE,Perioperative (usual dose),"If NPO convert oral dose to IV morphine (oral oxycodone:oral morphine 1:1.5, then oral:IV morphine 3:1)",Pain team,KHCC GDLPT-25,2022-08-17
42,Chronic opioid,Tramadol SR/IR,Tramadol,CONTINUE,Perioperative (usual dose),If NPO give IV tramadol as needed,,KHCC GDLPT-25,2022-08-17
43,Chronic opioid,Fentanyl transdermal patch,Fentanyl,CONTINUE,Resume during surgery,"In major surgeries remove patch and give equipotent oral/IV morphine; new patch takes 6-12 h to reach baseline analgesia, consider baseline IV fentanyl",Pain team,KHCC GDLPT-25,2022-08-17
44,Miscellaneous,Gout therapy - allopurinol,Allopurinol,CONTINUE,Perioperative,,,KHCC GDLPT-25,2022-08-17
45,Miscellaneous,Gout therapy - colchicine,Colchicine,HOLD,Morning of surgery,Resume when patient starts oral intake,,KHCC GDLPT-25,2022-08-17
46,Miscellaneous,VEGF inhibitors,Bevacizumab,DISCONTINUE,At least 6 weeks before surgery,Impairs wound healing; resume at least 4 weeks after surgery,Oncology,KHCC GDLPT-25,2022-08-17
47,Miscellaneous,Tyrosine kinase inhibitors,Dasatinib;Imatinib;Sunitinib,DISCONTINUE,At least 1 week before surgery,Affect wound healing and increase bleeding risk; reinitiate when adequate wound healing occurs,Oncology,KHCC GDLPT-25,2022-08-17
48,Miscellaneous,Antineoplastic agents,,CONDITIONAL,Agent-specific,"Refer to primary oncologist or clinical pharmacist; nadir 7-14 days after treatment, recovery usually 2-4 weeks after",Oncology,KHCC GDLPT-25,2022-08-17
49,Miscellaneous,Herbal medications,Ginkgo;Ginseng;St John's wort,DISCONTINUE,At least 1 week before surgery,"Increase bleeding risk, sedative effect of anesthetics, interact with other medications",,KHCC GDLPT-25,2022-08-17
